Body	radius(km)	Volume(10^9km^3)	Mass(10^21kg)	Density(g/cm^3)	Surface_gravity(m/s^2)	Type_of_object	Shape	
Sun	696000	1412000000	1989100000	1,41	274	Star	regular	
Jupiter	69911	1431280	1898600	1,33	24,79	Planet	regular	
Saturn	58232	82713	56846	0,69	10,445	Planet	regular	
Uranus	25362	68342	86832	1,27	8,87	Planet	regular	
Neptune	24622	6254	10243	1,64	11,15	Planet	regular	
Earth	6371	1083,21	5973,6	5,51	9,78033	Planet	regular	
Venus	6051,8	928,43	4868,5	5,24	8,872	Planet	regular	
Mars	3390	163,18	641,85	3,93	3,7	Planet	regular	
2004_TY364	2845	0,089	0,178	2,00	0,155	KBO	unknown	
Ganymede	2631,2	76,3	148,2	1,94	1,428	Satellite-Jupiter	regular	
Titan	2576	71,52	134,5	1,88	1,354	Satellite-Saturn	regular	
Mercury	2439,7	60,83	330,2	5,43	3,70	Planet	regular	
Callisto	2410,3	58,65	107,6	1,83	1,23603	Satellite-Jupiter	regular	
Io	1821,5	25,32	89,3	3,53	1,797	Satellite-Jupiter	regular	
Moon	1737,1	21,958	73,5	3,35	1,625	Satellite-Earth	regular		
Europa	1561	15,93	48	3,01	1,316	Satellite-Jupiter	regular		
Triton	1353,4	10,38	21,5	2,07	0,782	Satellite-Neptune	regular		
Eris	1163	7	16,7	2,39	0,662	Dwarf_planet-SDO-binary	regular		
Pluto	1161	7	13,105	1,87	0,61	Dwarf_planet-KBO	regular		
Titania	788,9	2,06	3,526	1,71	0,378	Satellite-Uranus	regular		
Rhea	764,1	1,87	2,3166	1,24	0,26	Satellite-Saturn	regular		
Oberon	761,4	1,85	3,014	1,63	0,347	Satellite-Uranus	regular		
Iapetus	735,6	1,55	1,9739	1,27	0,223	Satellite-Saturn	regular		
Makemake	710	1,8	3	1,67	0,4	Dwarf_planet-KBO	regular		
Haumea	650	1,3	4,006	3,08	0,44	Dwarf_planet-KBO-trinary	regular		
Charon	603,5	0,87	1,52	1,75	0,279	Satellite-Pluto	regular		
Umbriel	584,7	0,84	1,2	1,43	0,234	Satellite-Uranus	regular		
Ariel	578,9	0,81	1,35	1,67	0,269	Satellite-Uranus	regular		
2002_TC302	575	0,786	1,573	2,00	0,321	KBO-2:5resonance	unknown		
Dione	561,6	0,73	1,096	1,50	0,232	Satellite-Saturn	regular		
Tethys	533	0,624	0,6173	0,99	0,145	Satellite-Saturn	regular
Ceres	471	0,437	0,95	2,17	0,27	Dwarf_planet-Asteroid	regular
Salacia	452,5	unknown	0,45	unknown	0,147	KBO-binary	unknown
Quaoar	445	0,37	1,6	4,32	0,125	KBO-Cubewano-binary	unknown
2003_MW12	374	0,308	0,616	2,00	0,228	KBO	unknown
2005_UQ513	374	0,443	0,886	2,00	0,278	KBO-Cubewano	unknown
2002_AW197	367	0,207	0,414	2,00	0,206	KBO	unknown
2002_UX25	340,5	0,166	0,331	1,99	0,191	KBO-binary	unknown
2006_QH181	338,5	0,233	0,467	2,00	0,214	SDO	unknown
2004_GV9	338,5	0,162	0,325	2,01	0,19	KBO	unknown
2005_RN43	330,5	0,2036	0,407	2,00	0,205	KBO	unknown
Ixion	325	0,144	0,3	2,08	0,19	KBO-Plutino	unknown
2004_XA192	322	0,177	0,354	2,00	0,195	TNO	unknown
2001_UR163	306,5	0,134	0,269	2,01	0,178	SDO	unknown
2003_UZ413	306,5	0,116	0,33	2,84	0,241	KBO-Plutino	unknown
Chaos	300	0,216	0,4328	2,00	0,209	KBO-Cubewano	unknown
2005_RM43	292	0,102	0,2	1,96	0,159	KBO	unknown
2004_XR190	292	0,221	0,4416	2,00	0,21	SDO	unknown
2004_NT33	292	0,089	0,178	2,00	0,155	KBO-Cubewano	unknown
Pallas	272,5	unknown	0,211	unknown	0,19	Asteroid	uncertain
2004_PR107	264,5	0,0446	0,089	2,00	0,123	KBO	unknown
Vesta	262,7	unknown	0,259076	unknown	0,252	Asteroid	regular
2003_QX113	252,5	0,051	0,102	2,00	0,129	SDO	unknown
Enceladus	252,1	0,067	0,108	1,61	0,111	Satellite-Saturn	regular
Varuna	250	0,125	0,37	2,96	0,258	KBO	unknown
2006_HH123	239	0,0335	0,067	2,00	0,112	Centaur	unknown
Miranda	235,8	0,055	0,0659	1,20	0,0791	Satellite-Uranus	regular
1999_DE9	230,5	0,051	0,1026	2,01	0,129	KBO	unknown
1998_SN165	230	0,05	0,1	2,00	0,128	KBO	unknown
Proteus	210	0,038	0,05	1,32	0,0666	Satellite-Neptune	irregular
1999_CD158	210	0,0446	0,089	2,00	0,123	KBO	unknown
10_Hygiea	203,6	0,04	0,0885	2,21	0,143	Asteroid	irregular
2000_YW134	202	0,065	0,13	2,00	0,139	SDO	unknown
2002_WC19	200,5	0,034	0,0675	1,99	0,113	KBO-binary	unknown
1996_GQ21	200,5	0,0335	0,067	2,00	0,112	SDO	unknown
Mimas	198,3	0,033	0,03749	1,14	0,06363	Satellite-Saturn	regular
